"Province_State","year_month","Lat","Long_","Confirmed","Deaths","Incident_Rate","Total_Test_Results","Case_Fatality_Ratio","Testing_Rate"
"Mississippi","2021-04",32.7416,-89.6787,308340.7,7121.43333333333,10360.3919024215,1856273.76666667,2.30958754315243,62371.6677715621
"Mississippi","2021-05",32.7416,-89.6787,314774.451612903,7255.25806451613,10576.5689692587,1912807.93548387,2.30492184964097,64271.242316291
"Mississippi","2021-06",32.7416,-89.6787,319401.3,7359.9,10732.0332416153,1959915.23333333,2.30427674839569,65854.0695823137
"Mississippi","2021-07",32.7416,-89.6787,328313.580645161,7464.09677419355,11031.4900445227,2008260.77419355,2.27406334869627,67478.5023933126
"Mississippi","2021-08",32.7416,-89.6787,386583.35483871,7860.58064516129,12989.3817426046,2140586.48387097,2.03972171165176,71924.708200798
"Mississippi","2021-09",32.7416,-89.6787,465754.1,9030.7,15649.5558522104,2369726,1.93848691023696,79623.9032387155
"Mississippi","2021-10",32.7416,-89.6787,497116.032258065,9883.35483870968,16703.3314614982,2511707.32258065,1.98805600279148,84394.5421610492
"Mississippi","2021-11",32.7416,-89.6787,509124.4,10196.0333333333,17106.818240619,2615535.33333333,2.00266296799087,87883.2119404416
"Mississippi","2021-12",32.7416,-89.6787,522399.419354839,10348.9032258065,17552.8651070507,2721332.25806452,1.98127084751567,91438.0381514674
"Mississippi","2022-01",32.7416,-89.6787,633912.290322581,10627.1290322581,21299.7497881518,3008994.51612903,1.68851519841366,101103.62472205
"Mississippi","2022-02",32.7416,-89.6787,772074.535714286,11588.4285714286,25942.0659286308,3411310.39285714,1.50089749759647,114621.626566988
"Mississippi","2022-03",32.7416,-89.6787,792720.838709677,12270.2903225806,26635.7913770338,3983818.75287875,1.54785389755393,123498.484539313
"Mississippi","2022-04",32.7416,-89.6787,796138.433333333,12420.6333333333,26750.6241566982,5090752.40987978,1.56010962576074,140228.397000483
"Mississippi","2022-05",32.7416,-89.6787,802054.580645161,12458.2580645161,26949.4094766479,5705197.80937456,1.55331405435841,148904.086371416
"Mississippi","2022-06",32.7416,-89.6787,818906.833333333,12488.2,27515.653058249,5972107.02712745,1.52509082483287,161047.590948911
"Mississippi","2022-07",32.7416,-89.6787,854792.451612903,12571.4193548387,28721.4266359952,7045977.45819005,1.47096762974432,186342.42268171
"Mississippi","2022-08",32.7416,-89.6787,894023.032258064,12726.0322580645,30039.5925156323,7774510.88791918,1.42358443490064,196632.808934691
"Mississippi","2022-09",32.7416,-89.6787,920981,12845.7,30945.3928549948,7900498.25451026,1.39480219457415,200214.664711162
"Mississippi","2022-10",32.7416,-89.6787,930375.903225806,12943.8387096774,31261.0660026029,7977859.60265971,1.39124932304875,199549.958594172
"Mississippi","2022-11",32.7416,-89.6787,935945.033333333,13006.7,31448.1913819951,7992336.89997202,1.38968715291368,199742.267715063
"Mississippi","2022-12",32.7416,-89.6787,946587.35483871,13063.3225806452,31805.778367908,8219312.01008619,1.38007002226973,201780.461905864
"Mississippi","2023-01",32.7416,-89.6787,965045,13133.3548387097,32425.9638882328,8371429.96207969,1.36094393678029,203576.954398629
"Mississippi","2023-02",32.7416,-89.6787,982414.928571429,13272.25,33009.6016218082,8838348.8305938,1.35098605578155,213551.618867864
"Mississippi","2023-03",32.7416,-89.6787,989359.1,13351.7,33242.929033459,9214004.29882684,1.34953020412578,233252.788339409
"Missouri","2020-04",38.4561,-92.2884,6089.77777777778,226.555555555556,99.2236125259275,406492.833715193,1.91262544766183,999.468020395441
"Missouri","2020-05",38.4561,-92.2884,10779.7096774194,566.774193548387,175.638878002632,496509.453268885,1.96277877466757,2185.90789435369
"Missouri","2020-06",38.4561,-92.2884,16939.2,903.566666666667,275.998349797342,609014.527880103,1.98008802086798,4531.73652980803
"Missouri","2020-07",38.4561,-92.2884,32680.8387096774,1133.77419354839,532.484270441583,917913.038713152,1.58953008151377,8463.16320756996
"Missouri","2020-08",38.4561,-92.2884,67907.3225806452,1406.93548387097,1106.44593436608,1378150.90911787,1.4686934063046,13528.8961118948
"Missouri","2020-09",38.4561,-92.2884,108621.233333333,1811.13333333333,1769.81682446349,1717731.6643984,1.46886388107123,18670.4756454984
"Missouri","2020-10",38.4561,-92.2884,158147.193548387,2519,2576.76657955722,2000916.49568688,1.52244060857384,33383.946983613
"Missouri","2020-11",38.4561,-92.2884,253869,3431.26666666667,4136.40697699427,2761677.20444578,1.36269544558059,45358.1853288815
"Missouri","2020-12",38.4561,-92.2884,382524.967741935,4840.35483870968,6232.65914878245,3361001.90322581,1.26333187310924,54762.3842304269
"Missouri","2021-01",38.4561,-92.2884,491836.967741935,6434.03225806452,8013.73095931937,3893082.03225806,1.30735540075161,63431.8159375241
"Missouri","2021-02",38.4561,-92.2884,549983.75,7753.03571428571,8961.14382115766,4314743.07142857,1.40905397879776,70302.1374984533
"Missouri","2021-03",38.4561,-92.2884,571841.225806452,8637.45161290323,9317.27795106438,4660053.16129032,1.51036396621876,75928.4371448483
"Missouri","2021-04",38.4561,-92.2884,586876.366666667,8972.4,9562.25257007767,5073456.56666667,1.52883595888484,82664.2131959294
"Missouri","2021-05",38.4561,-92.2884,599533.322580645,9314.58064516129,9768.47830362564,5406534.19354839,1.55357978575765,88091.2035717305
"Missouri","2021-06",38.4561,-92.2884,614448.466666667,9617.13333333333,10011.4977587789,5618679.6,1.56521346856418,91547.7884221208
"Missouri","2021-07",38.4561,-92.2884,649566.387096774,9878.09677419355,10583.6905475188,5866079.09677419,1.52137072731993,95578.7847413313
"Missouri","2021-08",38.4561,-92.2884,725927.806451613,10511.2580645161,11827.8830554365,6300382.80645161,1.44832124542519,102655.099276955
"Missouri","2021-09",38.4561,-92.2884,796028.633333333,11470,12970.0687866861,6786998.16666667,1.44085219148713,110583.752129828
"Missouri","2021-10",38.4561,-92.2884,843808.129032258,12292.5483870968,13748.5625742943,7254903,1.4567472641238,118207.545571207
"Missouri","2021-11",38.4561,-92.2884,882039.533333333,12854.9666666667,14371.4848195911,7643418.66666667,1.45759096117898,124537.813994179
"Missouri","2021-12",38.4561,-92.2884,955999.483870968,15655.4516129032,15576.5490669865,8109993.64516129,1.63752157371402,132139.939485421
"Missouri","2022-01",38.4561,-92.2884,1174869.51612903,16835.5161290323,19142.7014073164,8807727.83870968,1.44107801115106,143508.450750211
"Missouri","2022-02",38.4561,-92.2884,1378454.07142857,18327.0714285714,22459.8002848843,9436889.35714286,1.32937488459201,153759.675178965
"Missouri","2022-03",38.4561,-92.2884,1409169.06451613,19690.3225806452,22959.4431139979,9725618.38709677,1.39724624461268,158464.07301392
"Missouri","2022-04",38.4561,-92.2884,1422825,20352.2,23113.7804522242,9852978.56666667,1.42304548186334,160539.212299789
"Missouri","2022-05",38.4561,-92.2884,1443961.06451613,20567.3870967742,23402.5766220407,10869549.9184853,1.42117434641083,169144.418332407
"Missouri","2022-06",38.4561,-92.2884,1484345.73333333,20830.7333333333,24185.1429186284,11752094.9050205,1.40346065631643,176106.427440098
"Missouri","2022-07",38.4561,-92.2884,1540096.29032258,21015.7419354839,25093.5129556319,11980274.5932663,1.36472782639712,176488.357084869
"Missouri","2022-08",38.4561,-92.2884,1597720.09677419,21289.9677419355,26162.8323786446,12238132.4399504,1.3288592436624,178099.927413322
"Missouri","2022-09",38.4561,-92.2884,1639212.9,21570.8666666667,26702.7632204674,12556111.3761102,1.31613711850832,177721.056040182
"Missouri","2022-10",38.4561,-92.2884,1666781.12903226,21787.2903225806,27157.5445273734,13773082.4711173,1.30715495956065,180634.727785334
"Missouri","2022-11",38.4561,-92.2884,1687585.6,21945.2333333333,27496.6256223291,14228402.7608964,1.3003998931217,192995.846601242
"Missouri","2022-12",38.4561,-92.2884,1716067.25806452,22141.935483871,27960.6906682167,14700687.7305341,1.29029465882356,214747.736099024
"Missouri","2023-01",38.4561,-92.2884,1745593.12903226,22419.3225806452,28441.7695658875,14822379.9446582,1.28433338118377,219144.340506101
"Missouri","2023-02",38.4561,-92.2884,1763334.42857143,22685.2857142857,28730.8369005946,15246934.2956802,1.28650033211567,226778.515400216
"Missouri","2023-03",38.4561,-92.2884,1774645.4,22829.5,28915.1318760888,15460107.0892252,1.28642574586756,226645.664791754
"Montana","2020-04",46.9219,-110.4544,428.833333333333,11.0555555555556,40.1237051411363,11192.3888888889,1.95397021662105,1047.21362985474
"Montana","2020-05",46.9219,-110.4544,468.322580645161,16.1612903225806,43.8185086748755,25724.9032258064,1.96448624162656,2406.94542980923
"Montana","2020-06",46.9219,-110.4544,644.433333333333,19.2,60.2962760585766,61211.2666666667,1.89752583088632,5727.21993404305
"Montana","2020-07",46.9219,-110.4544,2178.70967741935,34.5161290322581,203.850535604153,125903.580645161,1.81314720713053,11780.1433642123
"Montana","2020-08",46.9219,-110.4544,5591.25806451613,81.2258064516129,523.144943525796,204318.741935484,1.4523468762153,19117.0422609264
"Montana","2020-09",46.9219,-110.4544,9575.26666666667,139.866666666667,895.907912276139,290032.466666667,1.27533641790959,27136.8297875393
"Montana","2020-10",46.9219,-110.4544,21388.0967741935,240.935483870968,2001.17300077224,417873.451612903,1.16436863530255,39098.2459980373
"Montana","2020-11",46.9219,-110.4544,46890.3666666667,518.3,4387.28778723614,571365.566666667,1.09602995326581,53459.7050712745
"Montana","2020-12",46.9219,-110.4544,73318.1935483871,825.806451612903,6860.0021284483,728256.258064516,1.12460341644942,68139.1512610211
"Montana","2021-01",46.9219,-110.4544,87992.3225806452,1083.06451612903,8232.98407907397,866168.806451613,1.2295293270779,81042.9112922995
"Montana","2021-02",46.9219,-110.4544,97131.3571428571,1319.78571428571,9088.07602166747,1015596.21428571,1.35867122468708,95024.0568467647
"Montana","2021-03",46.9219,-110.4544,102125.483870968,1400,9555.35049102505,1142325.67741935,1.37080012253278,106881.473740978
"Montana","2021-04",46.9219,-110.4544,106635.633333333,1521.6,9977.34172422461,1256856.36666667,1.42667609209064,117597.514794154
"Montana","2021-05",46.9219,-110.4544,110472,1595.32258064516,10336.2906047841,1349828.87096774,1.44410305027373,126296.468580729
"Montana","2021-06",46.9219,-110.4544,112858.466666667,1643.83333333333,10559.5798815719,1426671.36666667,1.45651734905017,133486.221335644
"Montana","2021-07",46.9219,-110.4544,114672.967741935,1683.29032258065,10729.3533120943,1482400.61290323,1.46789296718678,138700.517123596
"Montana","2021-08",46.9219,-110.4544,120668.935483871,1741.70967741935,11290.3648357162,1567643.96774194,1.44376933197281,146676.294585212
"Montana","2021-09",46.9219,-110.4544,137365.733333333,1870.03333333333,12852.5973900411,1727981.03333333,1.36265839191834,161678.200087701
"Montana","2021-10",46.9219,-110.4544,163642.580645161,2154.35483870968,15311.1853579659,1944194.67741935,1.31641475069199,181908.186491428
"Montana","2021-11",46.9219,-110.4544,184730.266666667,2499.03333333333,17284.2504866929,2127544.86666667,1.35244568233228,199063.310310155
"Montana","2021-12",46.9219,-110.4544,194243.419354839,2833.32258064516,18174.3467169832,2259596.32258065,1.45847260083754,211418.678395387
"Montana","2022-01",46.9219,-110.4544,214268.741935484,2947.03225806452,20048.0120226543,2425797.61290323,1.37972265602343,226969.268913023
"Montana","2022-02",46.9219,-110.4544,256579.607142857,3081.46428571429,24006.8196709567,2641753.60714286,1.20138932053267,247175.148360357
"Montana","2022-03",46.9219,-110.4544,271361.516129032,3223.35483870968,25389.8860314333,2746552.4516129,1.18785089303765,256980.631301627
"Montana","2022-04",46.9219,-110.4544,273132.566666667,3269.9,25555.5940210845,2811776.76666667,1.19717251717211,263083.331306096
"Montana","2022-05",46.9219,-110.4544,275372.290322581,3381.45161290323,25755.3833413246,2857466.90322581,1.22828730125654,267358.319803159
"Montana","2022-06",46.9219,-110.4544,281256.433333333,3428.36666666667,26315.7019822623,2906261.23333333,1.21900751103743,271923.751549277
"Montana","2022-07",46.9219,-110.4544,290909.903225806,3455.12903225806,27218.9269638603,2967635.25806452,1.18780285683847,277666.199909103
"Montana","2022-08",46.9219,-110.4544,300532.129032258,3485.45161290323,28119.2285986667,3022233.77419355,1.15981471480815,282774.699160494
"Montana","2022-09",46.9219,-110.4544,307218.433333333,3509.83333333333,28744.8313244971,3088274.66935562,1.14247773755896,286312.428009289
"Montana","2022-10",46.9219,-110.4544,312426.290322581,3553.41935483871,29232.103423029,3485152.61024307,1.1373591358501,284051.665904546
"Montana","2022-11",46.9219,-110.4544,316263.066666667,3582.6,29591.0906349744,3614711.28498442,1.13279807468273,284215.563675415
"Montana","2022-12",46.9219,-110.4544,320438.193548387,3608.45161290323,29981.7355473622,3666427.97402138,1.12611193254901,285973.216431632
