"CODE","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","YEAR","STATE"
"00370012022","3.44","5.97","3.11","3.62","1.86","3.91","1.12","2.9","6.36","5.35","3.08","6.3","1202","Ohio"
"00380012020","4.12","7.17","4.26","5.14","6.64","4.27","4.69","6.95","6.62","2.69","4.49","2.83","1202","Oklahoma"
"00380012021","4.66","6.27","3.26","1.67","2.55","6.09","6.6","5.47","4.15","2.74","0.91","3.1","1202","Oklahoma"
"00380012022","4.17","2.08","3.6","4.01","3.39","3.46","6.26","5.31","3.63","2.54","3.66","3.31","1202","Oklahoma"
"00390012020","0.41","0.42","0.78","0.94","2.71","3.04","3.34","1.97","0.74","1.11","0.36","0.35","1202","Oregon"
"00390012021","0.31","0.37","1.21","1.48","2.25","1.19","2.47","2.55","2.03","3.42","0.24","0.63","1202","Oregon"
"00390012022","0.21","0.28","0.43","2.64","3.41","2.34","2.79","1.83","0.59","0.56","0.49","1.42","1202","Oregon"
"00400012020","6.73","9.18","8.15","6.56","4.56","3.88","4.76","5.93","4.37","4.97","1.98","4.66","1202","Pennsylvania"
"00400012021","3.32","5.05","10.15","2.82","4.27","4.52","5.06","7.13","4.86","5.3","1.68","4.62","1202","Pennsylvania"
"00400012022","6.06","8.57","4.52","4.71","4.46","2.58","5.52","4.27","2.79","1.95","3.51","5.83","1202","Pennsylvania"
"00410012020","1.96","1.9","3.17","1.86","3.54","2.15","2.28","1.32","4.21","1.01","0.95","1.82","1202","Rhode Island"
"00410012021","1.7","0.99","1.31","2.14","6.19","4.05","4","2.79","1.41","2.42","1.16","0.63","1202","Rhode Island"
"00410012022","0.69","1.07","1.23","1.29","2.32","1.41","1.03","4.33","1.41","2.36","2.74","1.36","1202","Rhode Island"
"00420012020","0.77","0.71","1.53","0.56","0.32","0.95","0.4","0.14","0.25","0.2","0.73","0.68","1202","South Carolina"
"00420012021","0.74","0.92","1.19","0.73","0.34","0.25","1.67","2.14","0.87","2.21","0.25","2.24","1202","South Carolina"
"00420012022","0.31","0.5","0.9","0.65","0.69","0.47","0.91","1.6","1.33","1","1.26","1.78","1202","South Carolina"
"00430012020","2.82","3.23","2.93","3.94","2.95","2.38","4.07","4.35","2.63","4.52","2.91","3.48","1202","South Dakota"
"00430012021","2.17","2.21","1.53","3.89","2.51","2.97","7.55","3.67","3.9","4.83","3.31","3.07","1202","South Dakota"
"00430012022","1.43","4.05","3.13","4.92","3.24","3.29","3.77","3.53","5.49","2.93","3.61","4.35","1202","South Dakota"
"00440012020","3.55","5.01","2.93","5.98","4.87","5.13","4.07","8.2","6.31","5.06","5.15","5.14","1202","Tennessee"
"00440012021","3.14","4.9","3.47","2.73","2.2","4.09","4.56","6.05","4.22","3.4","0.94","1.16","1202","Tennessee"
"00440012022","4.51","2.79","3.44","2.76","5.53","3.27","5.48","4.36","2.64","2.86","4.03","3.89","1202","Tennessee"
"00450012020","10.52","4.92","2.83","1.37","3.52","2.39","0.38","0.45","2.42","3.99","6.4","6.06","1202","Texas"
"00450012021","7.37","5.73","2.44","0.99","1.23","1.41","0.06","0.68","3.12","5.25","9.22","6.37","1202","Texas"
"00450012022","6.58","3.2","3.44","4.49","4","3.61","0.59","0.21","0.42","2.75","6.12","6.99","1202","Texas"
"00460012020","3.65","5.27","4.04","6.55","5.7","5.24","4.34","5.69","3.05","3.47","2.72","4.05","1202","Utah"
"00460012021","2.78","3.85","4.07","3.22","3.12","4.94","3.31","5.56","4.54","3.34","1.32","2.53","1202","Utah"
"00460012022","4.86","4.26","2.53","3.23","5.79","4.61","6.33","6.07","2.71","2.9","3.56","2.52","1202","Utah"
"00470012020","1.34","0.68","3.04","2.27","3.97","5","5.55","3.33","3.17","3","2.06","0.78","1202","Vermont"
"00470012021","0.84","0.88","1.87","2.36","2.99","3.9","4.36","5.46","2.07","2.02","1.24","1.91","1202","Vermont"
"00470012022","0.49","0.65","3.19","3.38","3.89","3.03","3.62","4.89","2.69","1.17","3.07","2.09","1202","Vermont"
"00480012020","1.02","1.21","1.03","1.32","1.25","1.67","0.69","0.3","0.82","1.01","0.69","0.71","1202","Virginia"
"00480012021","0.68","1.28","1.3","1.21","1.73","0.82","1.1","1.47","0.85","2.09","0.54","1.3","1202","Virginia"
"00480012022","0.78","0.53","0.86","1.89","2.62","1.11","0.84","1.39","1.4","0.76","1.22","1.34","1202","Virginia"
"00500012020","1.89","3.01","2.28","2.73","1.49","3.18","3.39","4.39","4.07","3.39","3.99","4.13","1202","Washington"
"00500012021","3.14","1.93","2.8","1.94","2.15","2.69","3.49","5.3","4.27","4.79","2.34","3.84","1202","Washington"
"00500012022","3.57","4.33","2.49","0.99","1.26","1.17","4.39","6.33","6.24","5.77","3.31","3.02","1202","Washington"
"001010012020","2.83","3.13","3.33","4.12","2.99","2.68","4","4.3","2.36","4.59","3.35","4.74","0120","West Virginia"
"001010012021","1.98","2.94","2.32","3.22","3.51","3.06","7.12","4.88","6","5.11","2.36","2.58","0120","West Virginia"
"001010012022","2.45","3.91","3","4.45","3.76","3.49","3.49","3.74","4.83","3.65","3.8","4.55","0120","West Virginia"
"001020012020","1.55","0.59","2.35","1.97","3.5","4.24","4.38","3.39","2.79","2.55","1.78","1.03","0120","Wisconsin"
"001020012021","0.88","0.76","1.87","2.15","2.56","3.32","3.39","4.48","2.65","3.52","1.29","1.83","0120","Wisconsin"
"001020012022","0.69","0.92","2.44","3.49","4.05","2.98","3.21","4.02","2.08","1.35","2.27","1.91","0120","Wisconsin"
"001030012020","4.57","4.14","5.47","4.57","5.43","3.91","4.93","3.8","3.24","3.99","2.68","2.56","0120","Wyoming"
"001030012021","2.94","2.66","5.31","3.29","4.13","5.1","5.13","4.41","3.48","5.31","1.35","3.3","0120","Wyoming"
"001030012022","2.97","4.73","3.88","3.9","5.15","2.96","5.46","4.25","2.35","2.08","2.7","2.88","0120","Wyoming"
"001040012020","4.35","7.03","3.74","5.98","5.04","5.15","5.12","7.27","6.99","4.18","4.12","3.59","0120","Alaska"
"001040012021","3.7","5.21","4.33","3.53","2.72","6.81","6.93","6.91","4.97","3.83","1.39","2.93","0120","Alaska"
"001040012022","4.04","3.08","4.85","3.72","4.46","3.7","6.33","5.66","4.34","2.18","4.09","3.31","0120","Alaska"
