TEMP,MONTH,YEAR,STATE
47,FEB,2020,North Carolina
42.2,FEB,2021,North Carolina
46.1,FEB,2022,North Carolina
17.8,FEB,2020,North Dakota
5.8,FEB,2021,North Dakota
9.5,FEB,2022,North Dakota
32.8,FEB,2020,Ohio
25.2,FEB,2021,Ohio
30.8,FEB,2022,Ohio
41.8,FEB,2020,Oklahoma
31.3,FEB,2021,Oklahoma
38.5,FEB,2022,Oklahoma
35.8,FEB,2020,Oregon
33.6,FEB,2021,Oregon
35.8,FEB,2022,Oregon
33.3,FEB,2020,Pennsylvania
26.6,FEB,2021,Pennsylvania
29.7,FEB,2022,Pennsylvania
35.4,FEB,2020,Rhode Island
30.9,FEB,2021,Rhode Island
32.4,FEB,2022,Rhode Island
50.9,FEB,2020,South Carolina
47.2,FEB,2021,South Carolina
51.8,FEB,2022,South Carolina
23.5,FEB,2020,South Dakota
12.8,FEB,2021,South Dakota
20,FEB,2022,South Dakota
43.3,FEB,2020,Tennessee
37.4,FEB,2021,Tennessee
41.8,FEB,2022,Tennessee
49.4,FEB,2020,Texas
44,FEB,2021,Texas
45.9,FEB,2022,Texas
31.1,FEB,2020,Utah
32.2,FEB,2021,Utah
29.5,FEB,2022,Utah
22.4,FEB,2020,Vermont
18.8,FEB,2021,Vermont
21.1,FEB,2022,Vermont
42.4,FEB,2020,Virginia
36.6,FEB,2021,Virginia
40.7,FEB,2022,Virginia
35.6,FEB,2020,Washington
31.4,FEB,2021,Washington
33.7,FEB,2022,Washington
38,FEB,2020,West Virginia
31.6,FEB,2021,West Virginia
35.4,FEB,2022,West Virginia
19.2,FEB,2020,Wisconsin
10.7,FEB,2021,Wisconsin
14.9,FEB,2022,Wisconsin
20.2,FEB,2020,Wyoming
17.4,FEB,2021,Wyoming
20.7,FEB,2022,Wyoming
1.5,FEB,2020,Alaska
1,FEB,2021,Alaska
8.6,FEB,2022,Alaska
63.5,MAR,2020,Alabama
59.6,MAR,2021,Alabama
57.4,MAR,2022,Alabama
51,MAR,2020,Arizona
49.4,MAR,2021,Arizona
51.8,MAR,2022,Arizona
56.5,MAR,2020,Arkansas
55.2,MAR,2021,Arkansas
52.1,MAR,2022,Arkansas
48,MAR,2020,California
48.2,MAR,2021,California
53.1,MAR,2022,California
38.8,MAR,2020,Colorado
35.8,MAR,2021,Colorado
34.9,MAR,2022,Colorado
41.4,MAR,2020,Connecticut
39.3,MAR,2021,Connecticut
