"CODE","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","YEAR","STATE"
"0230022022","28.40","32.60","46.2","53.1","65.9","75.3","79.7","76.5","69.5","56","44.3","33","2022","Missouri"
"0240022020","23.40","25.60","31.6","38.3","50.6","59.3","65.6","67.4","57","39.3","32.8","28.5","2020","Montana"
"0240022021","26.70","13.70","36.1","40.5","48.6","65.3","72.5","64.7","58.3","45.6","36.3","19.3","2021","Montana"
"0240022022","22.90","22.40","33.5","35.1","48.6","58.5","69.1","69.7","60.7","47.2","22.6","14.6","2022","Montana"
"0250022020","27.20","29.60","41.1","46.1","56.8","73.5","75.3","74","62.7","46.4","42.6","31.3","2020","Nebraska"
"0250022021","29.30","16.50","42.6","47","57.9","72.8","75","74.3","67.6","53.2","42.6","33.8","2021","Nebraska"
"0250022022","25.60","26.80","38","46.5","58.6","71.4","76.4","74.9","67.4","52.2","34.4","22.6","2022","Nebraska"
"0260022020","35.30","36.30","40.5","48.8","58.8","65","74.2","75.6","66.6","55.3","40.5","32.4","2020","Nevada"
"0260022021","33.70","35.60","39.2","49.3","57.2","72.6","77.8","72.4","65.5","49.6","45.2","32.4","2021","Nevada"
"0260022022","34.20","34.60","43.3","47.2","54.4","66.9","76.2","74.3","67.7","54.2","34","31.5","2022","Nevada"
"0270022020","25.20","24.20","34.2","39.6","53.4","64","71.1","66.5","58.5","47","38.5","28","2020","New Hampshire"
"0270022021","23.00","20.60","32.4","44","54.5","66.1","65.6","69.2","60.5","52.1","35.9","28.9","2021","New Hampshire"
"0270022022","14.80","23.60","32","42.4","57.1","61.7","68.6","69.7","58","48.6","39.5","28.4","2022","New Hampshire"
"0280022020","37.30","39.10","46.3","48.7","59.1","71.5","78.8","75.5","66.8","57","49.2","37","2020","New Jersey"
"0280022021","33.70","32.00","44","52.6","60.8","71.8","75.7","75.9","68.7","61","43.6","41.2","2021","New Jersey"
"0280022022","28.50","35.50","43.8","51","63.1","69.9","77.8","77.1","67.6","54","47.6","35.6","2022","New Jersey"
"0290022020","37.10","38.50","48","54","65.1","72.5","76.6","76.2","65","56.6","47.5","35","2020","New Mexico"
"0290022021","35.10","37.30","44.8","53.2","62.7","73.1","73.3","72.2","68.3","55.6","47.6","42","2021","New Mexico"
"0290022022","35.70","35.10","44.6","55.4","64.9","72.6","76.4","72","68.2","54","40.4","37.4","2022","New Mexico"
"0300022020","27.70","26.60","37.2","41.1","54.2","65.2","72.9","68.6","59.6","49","41.9","29.8","2020","New York"
"0300022021","24.00","21.70","35","45.7","54.7","67.1","67.7","70.4","61.7","54.8","37","32.8","2021","New York"
"0300022022","15.80","23.80","33.8","43.8","58.5","63.8","69.7","70","60.5","49","41","29","2022","New York"
"0310022020","46.00","47.00","55.9","57.4","63.6","73.2","79.6","77.5","69.7","63","54.8","42.2","2020","North Carolina"
"0310022021","40.80","42.20","53.1","58.6","65.5","73.8","77.1","77.8","70.6","64.4","48.1","50.8","2021","North Carolina"
"0310022022","38.70","46.10","53.5","58.8","68.9","75.2","79.1","76.6","70.4","57.6","53.4","41.9","2022","North Carolina"
"0320022020","12.90","17.80","29.8","37.6","52.5","66.9","70.3","69.2","57.1","37.8","31.8","23.4","2020","North Dakota"
"0320022021","21.00"," 5.80","35.9","40.7","52.8","69.3","73.8","68.9","62.2","48.6","32.6","14","2021","North Dakota"
"0320022022"," 8.60"," 9.50","26.9","33.5","52.9","64.6","70.6","69.4","60.9","46","23.1","6.7","2022","North Dakota"
"0330022020","34.90","32.80","44.7","47.8","58.4","70.4","76.9","72.2","64.7","53.5","46.4","33.6","2020","Ohio"
"0330022021","30.90","25.20","44.8","51.4","58.8","71.5","73","74.6","66.9","60.3","40.5","40.2","2021","Ohio"
"0330022022","24.00","30.80","43.2","48.7","63.8","70.6","74.1","72.2","65.2","52.1","44","32.7","2022","Ohio"
"0340022020","42.20","41.80","55.5","57.9","67.2","78.8","82.6","79.4","70.3","58.3","53.5","41","2020","Oklahoma"
"0340022021","39.70","31.30","53.9","57.4","65.9","77.4","80","81.3","76.7","64.4","51.2","50.4","2021","Oklahoma"
"0340022022","37.00","38.50","50.4","61.1","70.6","79.5","86.6","82.6","75.9","62.1","47.4","40","2022","Oklahoma"
"0350022020","34.90","35.80","38.8","46.3","52.6","57.9","66","67.2","62.6","51.3","38.3","34.2","2020","Oregon"
"0350022021","34.80","33.60","39","46.6","52","65.2","71.4","66.4","59.4","47.6","41.9","32.4","2021","Oregon"
"0350022022","34.80","35.80","41.8","40.2","47.7","58.1","69.6","70.6","62.6","54.4","33.2","30.3","2022","Oregon"
"0360022020","32.20","33.30","42.5","45.1","56","67.2","74.9","71.6","62.1","52.2","44.8","32.1","2020","Pennsylvania"
"0360022021","29.40","26.60","40.7","49.4","57","68.6","71.2","72.6","64.3","57.7","39","37.6","2021","Pennsylvania"
"0360022022","22.50","29.70","39.4","47","60.5","67.1","72.4","71.4","63","49.4","42.8","30.6","2022","Pennsylvania"
"0370022020","35.30","35.40","42.6","44.1","56.6","68.1","75.4","73.8","64.5","54.6","47.5","35.7","2020","Rhode Island"
"0370022021","31.30","30.90","40.2","48.8","58","69.6","71.2","73.6","66.4","58.4","42.9","38.6","2021","Rhode Island"
"0370022022","27.00","32.40","40.6","48.4","60.2","66.3","74.4","75","63.6","54.4","46.7","35.4","2022","Rhode Island"
"0380022020","50.30","50.90","60.4","62.1","68","76.1","81.9","80.1","73.3","67.4","59.3","45.6","2020","South Carolina"
"0380022021","46.00","47.20","57.6","62","69.1","76.8","79.4","80.1","73.5","66.8","51.6","54.6","2021","South Carolina"
"0380022022","43.60","51.80","57.7","62.3","72.8","78.8","81.2","79","73.6","60.8","56.9","46","2022","South Carolina"
"0390022020","20.10","23.50","36.4","42","54.2","70.3","73.5","72.6","60.4","41.2","38.6","28.3","2020","South Dakota"
"0390022021","26.50","12.80","39.4","43.6","55","72.3","75.3","72.5","65","51.2","38.2","24.5","2021","South Dakota"
"0390022022","19.10","20.00","33.4","39.6","55.4","67.7","74.6","73.2","65.4","49.4","29","15.1","2022","South Dakota"
"0400022020","43.00","43.30","54.7","55.4","64","73.5","79.2","76.4","69.9","60.4","51.9","39.5","2020","Tennessee"
"0400022021","39.70","37.40","53.6","56.2","64.1","74","77","77.2","69.7","63.4","45.6","50.4","2021","Tennessee"
"0400022022","35.50","41.80","51.6","56.8","68.9","75.8","80.1","76.4","69.4","56.3","49","40.9","2022","Tennessee"
"0410022020","50.70","49.40","63.2","65.1","74.6","80.7","85.2","84.4","74.1","65.9","60.6","48.5","2020","Texas"
"0410022021","47.30","44.00","59.4","63.7","71.9","80.3","80.9","81.9","78.2","69.8","57.3","59.1","2021","Texas"
"0410022022","45.80","45.90","57.1","68.8","77.9","83.7","87.1","83.3","77.8","66.4","54","49.9","2022","Texas"
"0420022020","28.70","31.10","40.8","47.4","59","65.4","73.7","75.8","63.9","52.8","38.8","27.2","2020","Utah"
"0420022021","28.10","32.20","38.4","47.4","57.1","71.9","76.2","70.9","64.4","47.9","42.5","31.1","2021","Utah"
"0420022022","29.40","29.50","40.1","46.3","54.7","67.6","75.5","72.3","66.7","51","32.1","28","2022","Utah"
"0430022020","23.40","22.40","33","38.8","52.6","62.8","70.9","65.2","57.2","46.4","37.9","27.3","2020","Vermont"
"0430022021","20.50","18.80","30.9","43.2","53.3","65.4","64.9","68.8","59.5","51.6","34.3","28.2","2021","Vermont"
"0430022022","12.10","21.10","30.6","41.3","56.8","61.2","67.4","68.3","57.6","47.9","38.5","27.1","2022","Vermont"
"0440022020","40.60","42.40","51.7","53.3","60.5","71.3","78.7","75.5","66.4","59","51.3","38.4","2020","Virginia"
"0440022021","36.60","36.60","48.5","55.3","62.3","72","75.9","76.4","68.4","62.3","44.5","45.8","2021","Virginia"
"0440022022","32.90","40.70","48.9","55.2","65.1","72.1","76.9","74.7","67.8","53.8","49","37.2","2022","Virginia"
"0450022020","34.20","35.60","38.3","46","53.3","57.9","64.8","65.7","61.2","48.4","37.6","33.7","2020","Washington"
"0450022021","34.60","31.40","39.7","46.8","52.6","64.6","69.7","65.8","58","46.6","39.9","29.4","2021","Washington"
"0450022022","31.30","33.70","41.5","40.7","48.4","57.9","68","69.8","61.6","53.6","32","26.3","2022","Washington"
"0460022020","37.30","38.00","47.8","48.9","57.8","68.1","75.6","72.5","64.2","55.4","47.5","34.3","2020","West Virginia"
"0460022021","32.60","31.60","45.8","51.3","58.7","69.2","72.2","73.9","65.5","59.4","40.9","42.6","2021","West Virginia"
"0460022022","27.30","35.40","44.6","50.8","63","68.8","73","71.8","64.2","50.3","45","34.5","2022","West Virginia"
"0470022020","21.50","19.20","34.3","40.7","54.1","66.5","71.9","68.3","57.3","41.3","38.6","24.2","2020","Wisconsin"
"0470022021","20.30","10.70","36.9","45","54.9","69.4","69.4","69.2","61.2","53.5","33.9","24.8","2021","Wisconsin"
"0470022022"," 9.20","14.90","29.5","39","57.2","65.4","69.4","67.4","60.3","47.2","35.3","19.1","2022","Wisconsin"
"0480022020","23.80","20.20","33.1","37.6","50.3","59.7","66.6","67.7","55.5","41.2","33.1","24.5","2020","Wyoming"
"0480022021","23.40","17.40","32.2","38","48.8","64.9","70.1","64.1","58.1","43.9","36.6","26.2","2021","Wyoming"
"0480022022","23.00","20.70","31.9","36.1","46.7","59","68.9","67.4","59.7","44.6","24.7","19","2022","Wyoming"
"0500022020","-6.40"," 1.50","12","27.5","43.3","50.5","53.2","52.1","42","28.9","14.5","10.6","2020","Alaska"
"0500022021","10.60"," 1.00","9.1","23.9","40.3","50.9","53.9","49.4","39.4","27.9","4.6","6.8","2021","Alaska"
"0500022022"," 3.60"," 8.60","16.7","25.1","39.9","52.7","53.4","50.1","42.9","28.6","16.4","7.5","2022","Alaska"
